Species,n_words,
fossil Castanea pollen,3,delete
Chamaecrista sp  ASC-2009,4,
Setaria sp  TRK-2015,4,
Sanango sp  Bremer 3352,4,
Helichrysum sp  TRK-2015,4,
Taraxacum sect  Naevosa sp  6281f,5,
Muehlenbeckia sp  Mt Brockman L A Craven 2357 K L Wilson & Makinson,12,
Sida sp  TRK-2015,4,
Eragrostis sp  TRK-2015,4,
Dypsis sp  Mada25,3,
Echinochloa crus-galli,3,
Quercus sp  MES114,3,
Ichnanthus sp  Silva et al  550,6,
Arabis ottonis-schulzii,3,
Juniperus hybrid sp  LO-2009,5,
Solanum sp  TRK-2015,4,
Pavonia sp  TRK-2015,4,
Asteraceae sp  TRK-2015,4,
Zygia sp  KGD-2009,4,
Hydrocotyle novae-zealandiae,3,
Hildaea sp  Costa et al  903,6,
Gazania sp  Koekemoer and Funk 1929,6,
Digitaria sp  TRK-2015,4,
Celtis sp  Mada221,3,
Nicotiana sp  'rastroensis',3,
Castanopsis sp  'kuchugouzhui',3,
Asteroideae sp  D3-001,4,
Operculina sp  Romero 1701,4,
Musa sp  Ogasawara06,3,
Pithecellobium sp  DS14533 JM1598,4,
Excoecaria sp  Pell 678,4,
Aralia kingdon-wardii,3,
Enneapogon sp  TRK-2015,4,
Arctostaphylos uva-ursi,3,
Phyllarthron sp  Mada29,3,
Catalpa aff  speciosa Olmstead 88-003,6,
Piresia sp  Hodkinson 601,4,
Calliandra sp  ERS-2013,4,
Sclerophylax sp  Nee and Bohs 50857,6,
