Species,Species.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,First.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Quercus alba,Quercus alba,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,1,1,wfo-0000289457,urn:lsid:ipni.org:names:295763-1,171499,Quercus alba,species,wfo-1000040899,L.,Fagaceae,,,NA,Quercus,Quercus,alba,,species,Valid,Sp. Pl. : 996 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 996 1753  to Sp. Pl. : 996 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-171499 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-171499,The Fagaceae TEN,A,kew-171499,,FALSE,,,
Quercus polycarpa,Quercus polycarpa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,2,1,wfo-0000292573,urn:lsid:ipni.org:names:296605-1,174486,Quercus polycarpa,species,,Schur,Fagaceae,,,NA,Quercus,Quercus,polycarpa,,species,,Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt 2: 174 (1851),Unchecked,,,NA,"Source in seed data: wcs Update namepublishedIn from Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt 2: 174 1851  to Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt 2: 174 (1851), information provided by Alan E. on email Jun. 07 2021 ",http://www.theplantlist.org/tpl1.1/record/kew-174486,The Fagaceae TEN,A,kew-174486,,FALSE,,,
Digitaria ischaemum,Digitaria ischaemum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,3,1,wfo-0000864055,urn:lsid:ipni.org:names:398891-1,409080,Digitaria ischaemum,species,wfo-4000011700,(Schreb.) Muhl.,Poaceae,,,NA,Digitaria,,ischaemum,,species,Valid,Descr. Gram. : 131 (1817),Accepted,,wfo-0000884693,NA,"Source in seed data: wcs Update namepublishedIn from Descr. Gram. 131 1817  to Descr. Gram. : 131 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-409080 >T",http://www.theplantlist.org/tpl1.1/record/kew-409080,The Poaceae TEN,A,kew-409080,,FALSE,,,
Trifolium campestre,Trifolium campestre,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,4,1,wfo-0000212979,urn:lsid:ipni.org:names:166197-3,8057,Trifolium campestre,species,wfo-4000039133,Schreb.,Fabaceae,,,NA,Trifolium,,campestre,,species,Valid,"J.Sturm, Deutschl. Fl. Abbild.4: 16 (1804)",Accepted,,,NA,"Source in seed data: ildis Updated namepublishedIn from  to - =  Deutschlands Flora] 1(4) (ante Oct. 1800) t. XVII.4., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/",https://www.legumedata.org/taxonomy/taxon/439378,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-8057,,FALSE,,,
Trifolium campestre,Trifolium campestre,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,4,2,wfo-0000213947,urn:lsid:ipni.org:names:257849-2,9009,Trifolium aureum,species,wfo-4000039133,Pollich,Fabaceae,,,NA,Trifolium,,aureum,,species,Valid,Hist. Pl. Palat.2: 344 (1777),Accepted,,,NA,Source in seed data: ildis More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-9009 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-9009 >The Plant List v.1.0</a>,https://www.legumedata.org/taxonomy/taxon/440847,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-9009,,TRUE,Synonym,wfo-1200021682,Trifolium campestre
Physaria fendleri,Physaria fendleri,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,5,1,wfo-0001266229,urn:lsid:ipni.org:names:20008539-1,50221301,Physaria fendleri,species,wfo-4000029511,(A.Gray) O'Kane & Al-Shehbaz,Brassicaceae,,,NA,Physaria,,fendleri,,species,Valid,Novon 12(3): 323. 2002,Accepted,,wfo-0001241995,NA,"Source in seed data: tro Updated namePublishedIn from Novon 12(3): 323 2002  to Novon 12(3): 323. 2002 , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/tpl1.1/r",http://www.theplantlist.org/tpl1.1/record/tro-50221301,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-50221301,,FALSE,,,
Quercus pubescens,Quercus pubescens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,6,1,wfo-0000292685,urn:lsid:ipni.org:names:326376-2,174591,Quercus pubescens,species,wfo-1000040899,Willd.,Fagaceae,,,NA,Quercus,Quercus,pubescens,,species,Valid,Berlin. Baumz. : 279 (1796),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Berlin. Baumz. 279 1796  to Berlin. Baumz. : 279 (1796), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-17459",http://www.theplantlist.org/tpl1.1/record/kew-174591,The Fagaceae TEN,A,kew-174591,,FALSE,,,
Mentzelia oreophila,Mentzelia oreophila,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,7,1,wfo-0001073693,urn:lsid:ipni.org:names:157484-2,18900231,Mentzelia oreophila,species,wfo-4000023752,J.Darl.,Loasaceae,,,NA,Mentzelia,,oreophila,,species,Valid,Ann. Missouri Bot. Gard. 21: 175 (1934),Accepted,,,NA,"Source in seed data: tro Update namepublishedIn from Ann. Missouri Bot. Gard. 21(1): 175–176 1934  to Ann. Missouri Bot. Gard. 21: 175 (1934), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepl",http://www.theplantlist.org/tpl1.1/record/tro-18900231,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-18900231,,FALSE,,,
Urochloa oblita,Urochloa oblita,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,8,1,wfo-0000906868,urn:lsid:ipni.org:names:972088-1,449515,Urochloa oblita,species,wfo-4000039845,(Swallen) Morrone & Zuloaga,Poaceae,,,NA,Urochloa,,oblita,,species,Valid,Darwiniana 31: 92 (1992),Accepted,,wfo-0000885462,NA,"Source in seed data: wcs Update namepublishedIn from Darwiniana 31: 92 1992  to Darwiniana 31: 92 (1992), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-449515 >T",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:972088-1,The Poaceae TEN,A,kew-449515,,FALSE,,,
Commelina erecta,Commelina erecta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,9,1,wfo-0000358795,urn:lsid:ipni.org:names:172048-1,233875,Commelina erecta,species,wfo-4000009041,L.,Commelinaceae,,,NA,Commelina,,erecta,,species,Valid,Sp. Pl. : 41 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 41 1753  to Sp. Pl. : 41 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-233875 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/kew-233875,The Commelinales TEN,A,kew-233875,,FALSE,,,
